cdep,id,ndep,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05,1,ANTIOQUIA,2805,2688,2420,2605,2517,2036,2781,3135,2637,1750,2118,2532
08,2,ATLANTICO,849,743,837,935,894,988,1162,1196,1336,754,929,997
11,3,BOGOTA D.C,4204,3794,3400,3774,4323,4024,3968,3981,4229,3360,3879,4813
13,4,BOLIVAR,818,785,781,820,852,902,941,1081,1032,593,725,892
15,5,BOYACA,561,514,520,389,512,486,551,605,636,415,568,736
17,6,CALDAS,520,506,568,494,498,425,474,513,546,326,463,521
18,7,CAQUETA,123,202,175,125,157,214,229,321,349,253,343,463
19,8,CAUCA,372,332,328,325,392,394,378,432,378,350,347,482
20,9,CESAR,495,556,567,543,600,536,621,639,626,367,457,546
23,10,CORDOBA,455,481,465,480,460,512,623,655,643,435,595,577
25,11,CUNDINAMARCA,1642,1465,1436,1453,1350,1375,1422,1578,1706,1172,1511,1787
27,12,CHOCO,117,105,93,169,136,148,177,235,220,133,114,145
41,13,HUILA,505,550,516,506,474,477,580,775,776,515,624,819
44,14,LA GUAJIRA,184,195,220,247,305,313,305,354,362,316,359,322
47,15,MAGDALENA,423,386,423,457,476,485,454,516,497,334,439,486
50,16,META,778,772,781,775,696,807,903,859,878,591,690,781
52,17,NARIÑO,443,350,363,308,266,172,166,124,128,48,93,113
54,18,NT.SANTANDER,544,476,401,347,399,359,484,548,472,370,545,575
63,19,QUINDIO,426,365,409,403,388,386,463,509,426,324,429,419
66,20,RISARALDA,541,531,613,530,458,525,600,699,742,575,709,808
68,21,SANTANDER,1263,1205,1193,1083,1243,1239,1224,1301,1278,807,992,978
70,22,SUCRE,400,453,386,411,437,394,392,478,436,272,324,369
73,23,TOLIMA,528,464,486,462,573,575,745,1070,1211,922,1111,1274
76,24,VALLE,1753,1761,1716,1726,1840,1787,2054,2176,2100,1253,1505,1610
81,25,ARAUCA,162,162,139,132,198,217,232,254,328,219,255,269
85,26,CASANARE,357,325,274,292,299,251,400,474,430,334,388,432
86,27,PUTUMAYO,156,122,154,163,192,196,181,225,250,186,185,274
88,33,SAN ANDRES,34,19,21,13,22,20,20,23,26,27,26,20
91,28,AMAZONAS,115,48,46,50,73,62,104,110,81,77,74,89
94,29,GUAINIA,1,0,0,NA,28,33,36,42,68,38,46,52
95,30,GUAVIARE,33,64,43,44,40,57,49,26,62,57,80,101
97,31,VAUPES,0,0,1,NA,NA,NA,8,1,5,11,53,12
99,32,VICHADA,25,21,26,10,23,12,3,10,7,2,16,18
