cdep,id,ndep,casos,casosm,casosh
05,1,ANTIOQUIA,2118,1778,340
08,2,ATLANTICO,929,818,111
11,3,SANTAFE DE BOGOTA D.C,3879,3362,517
13,4,BOLIVAR,725,641,84
15,5,BOYACA,568,516,52
17,6,CALDAS,463,385,78
18,7,CAQUETA,343,312,31
19,8,CAUCA,347,317,30
20,9,CESAR,457,406,51
23,10,CORDOBA,595,538,57
25,11,CUNDINAMARCA,1511,1299,212
27,12,CHOCO,114,106,8
41,13,HUILA,624,540,84
44,14,LA GUAJIRA,359,323,36
47,15,MAGDALENA,439,391,48
50,16,META,690,600,90
52,17,NARIÑO,93,86,7
54,18,NORTE DE SANTANDER,545,462,83
63,19,QUINDIO,429,358,71
66,20,RISARALDA,709,605,104
68,21,SANTANDER,992,872,120
70,22,SUCRE,324,290,34
73,23,TOLIMA,1111,969,142
76,24,VALLE DEL CAUCA,1505,1312,193
81,25,ARAUCA,255,230,25
85,26,CASANARE,388,343,45
86,27,PUTUMAYO,185,166,19
88,33,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,26,23,3
91,28,AMAZONAS,74,61,13
94,29,GUAINIA,46,46,0
95,30,GUAVIARE,80,71,9
97,31,VAUPES,53,48,5
99,32,VICHADA,16,15,1
