cdep,id,ndep,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05,1,ANTIOQUIA,NA,NA,NA,2210,2096,1685,2311,2646,2219,1445,1778,2177
08,2,ATLANTICO,NA,NA,NA,803,785,866,978,1027,1140,659,818,884
11,3,BOGOTA D.C,3406,3080,2827,3161,3632,3379,3376,3350,3595,2831,3362,4201
13,4,BOLIVAR,NA,NA,NA,714,748,782,824,939,896,519,641,791
15,5,BOYACA,NA,NA,NA,331,429,421,481,520,550,376,516,642
17,6,CALDAS,NA,NA,NA,414,395,343,392,423,463,272,385,452
18,7,CAQUETA,NA,NA,NA,101,135,192,205,285,313,221,312,422
19,8,CAUCA,NA,NA,NA,293,325,340,330,388,340,309,317,442
20,9,CESAR,NA,NA,NA,461,521,464,543,558,542,333,406,500
23,10,CORDOBA,NA,NA,NA,429,413,461,528,579,566,393,538,515
25,11,CUNDINAMARCA,NA,NA,NA,1222,1126,1159,1231,1319,1437,973,1299,1541
27,12,CHOCO,NA,NA,NA,159,125,135,162,213,196,116,106,135
41,13,HUILA,NA,NA,NA,432,414,412,500,675,671,439,540,740
44,14,LA GUAJIRA,NA,NA,NA,216,257,280,269,313,325,278,323,292
47,15,MAGDALENA,NA,NA,NA,417,426,423,400,455,433,284,391,435
50,16,META,NA,NA,NA,635,589,663,770,747,755,493,600,694
52,17,NARIÑO,NA,NA,NA,275,237,164,150,103,116,44,86,107
54,18,NT.SANTANDER,NA,NA,NA,274,325,296,403,456,377,307,462,498
63,19,QUINDIO,NA,NA,NA,334,316,321,379,413,341,269,358,356
66,20,RISARALDA,NA,NA,NA,428,396,432,506,583,635,475,605,712
68,21,SANTANDER,NA,NA,NA,895,1036,1057,1046,1089,1099,704,872,834
70,22,SUCRE,NA,NA,NA,350,388,332,340,424,383,243,290,334
73,23,TOLIMA,NA,NA,NA,389,501,491,646,937,1026,794,969,1132
76,24,VALLE,NA,NA,NA,1452,1543,1502,1757,1830,1828,1071,1312,1420
81,25,ARAUCA,NA,NA,NA,111,166,189,208,228,287,179,230,241
85,26,CASANARE,NA,NA,NA,253,257,217,353,414,387,304,343,375
86,27,PUTUMAYO,NA,NA,NA,147,161,176,164,204,230,161,166,257
88,33,SAN ANDRES,NA,NA,NA,11,21,17,19,21,23,24,23,18
91,28,AMAZONAS,NA,NA,NA,44,63,55,92,95,75,72,61,76
94,29,GUAINIA,NA,NA,NA,0,27,30,35,39,57,32,46,47
95,30,GUAVIARE,NA,NA,NA,35,38,46,39,19,52,49,71,89
97,31,VAUPES,NA,NA,NA,0,0,0,8,1,5,9,48,11
99,32,VICHADA,NA,NA,NA,9,21,12,2,9,6,2,15,16
