id,cdep,cmun,cindica,nomind,periodo,edadR,casos,poblacion,tasa,casosh,poblacionh,tasah,casosm,poblacionm,tasam
25233,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,2,715,607892,117.619577161733,172,312398,55.0579709217088,543,295494,183.760076346728
25234,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,1314,722847,181.7812068114,253,371162,68.1643056131824,1061,351685,301.690433200165
25235,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,1585,734488,215.796582108898,175,374811,46.6901985267241,1410,359677,392.018394281536
25236,11,11001,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2018,5,359,1458269,24.6182288727251,28,737666,3.79575580276168,331,720603,45.9337527043323
25237,11,11001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,1,8,122409,6.53546716336217,3,62875,4.7713717693837,5,59534,8.39856216615715
25238,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,2,90,81565,110.341445472936,17,41612,40.8535999230991,73,39953,182.714689760469
25239,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,193,102556,188.189866999493,35,52033,67.2650049007361,158,50523,312.728856164519
25240,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,293,109139,268.464985019104,27,54831,49.2422169940362,266,54308,489.798924651985
25241,13,13001,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2018,5,59,197666,29.8483300112311,8,99782,8.01747810226293,51,97884,52.1024886600466
25242,13,13001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,1,1,16120,6.20347394540943,0,8219,0,1,7901,12.6566257435768
25243,13,13006,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,2,2665,75.046904315197,0,1367,0,2,1298,154.083204930663
25244,13,13030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,1,1708,58.5480093676815,1,890,112.359550561798,0,818,0
25245,13,13042,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,2,1,2552,39.1849529780564,0,1302,0,1,1250,80
25246,13,13042,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,2,2706,73.909830007391,0,1391,0,2,1315,152.091254752852
25247,13,13042,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,2,2577,77.6096235933256,1,1368,73.0994152046784,1,1209,82.7129859387924
25248,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,2,3,7597,39.4892720810846,2,3883,51.5065670873036,1,3714,26.9251480883145
25249,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,4,9100,43.956043956044,1,4635,21.5749730312837,3,4465,67.1892497200448
25250,13,13052,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,20,9057,220.82367229767,4,4606,86.8432479374729,16,4451,359.469782071445
25251,13,13052,121,Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años,2018,5,4,15331,26.0909268801774,1,8066,12.3977188197372,3,7265,41.2938747419133
25252,13,13074,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,2,2,2505,79.8403193612774,0,1281,0,2,1224,163.398692810458
25253,13,13074,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,3,3,2630,114.068441064639,1,1335,74.9063670411985,2,1295,154.440154440154
25254,13,13074,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes",2018,4,2,2341,85.4335753951303,0,1190,0,2,1151,173.761946133797
