"","cdep","cmun","cindica","nomind","contexto","periodo","edadR","casos","casosh","poblacionh","casosm","poblacionm","casosNA","poblacionNA","tasaNA","rural","urbana","sininfor","desplazados","otros","discapacitados","nodiscapacitados","discapacitadoNA","indigena","negro","palenquero","raizal","ROM","Sinetnica","Sininformación"
"1",91,91263,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",1,0,174,1,157,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"2",91,91405,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(12 a 17)",3,0,295,3,245,0,0,0,0,3,0,0,3,0,3,0,2,0,0,0,0,1,0
"3",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(01 a 05)",13,4,2926,9,2785,0,0,0,1,12,0,0,13,0,13,0,6,0,0,0,0,7,0
"4",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",21,5,3447,16,3341,0,0,0,1,20,0,0,21,1,20,0,7,0,0,0,0,14,0
"5",91,91001,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(12 a 17)",30,3,3266,27,3129,0,0,0,3,27,0,0,30,2,28,0,16,0,0,0,0,14,0
"6",91,91001,121,"Tasa de exámenes médico legales por presunto delito sexual cuando la víctima está entre 18 y 28 años","PRESUNTO DELITO SEXUAL",2021,"(18 a 28)",4,1,5282,3,4586,0,0,0,0,4,0,0,4,1,3,0,2,0,0,0,0,2,0
"7",91,91536,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",1,0,73,1,75,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
"8",91,91536,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(12 a 17)",1,0,48,1,68,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"9",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(01 a 05)",3,1,656,2,640,0,0,0,2,1,0,0,3,0,3,0,0,0,0,0,0,1,2
"10",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",5,0,945,5,859,0,0,0,3,2,0,0,5,0,5,0,0,0,0,0,0,3,2
"11",5,5002,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(12 a 17)",12,3,1062,9,906,0,0,0,5,7,0,0,12,0,12,0,0,0,0,0,0,10,2
"12",5,5004,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",1,0,138,1,119,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"13",5,5004,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(12 a 17)",1,0,151,1,114,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"14",5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(01 a 05)",3,2,1043,1,991,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0
"15",5,5030,81,"Tasa de exámenes médico legales por presunto delito sexual contra niños, niñas y adolescentes","PRESUNTO DELITO SEXUAL",2021,"(06 a 11)",9,3,1293,6,1250,0,0,0,5,4,0,1,8,1,8,0,0,0,0,0,0,8,1
